company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
1395,8,13,0.006418271234475285,0.19,2023-02-07,5,56,0.0008695652173913044
464,8,14,0.5540551804617821,0.05,2023-02-06,1,56,0.0012838392124692372
946,157,18,0.024756189047261814,0.07,2023-02-06,9,5,0.004159146841673503
303,107,26,0.008085354672001334,0.25791719543147207,2023-02-06,0,1,0.0006562756357670221
1753,99,30,0.006418271234475285,0.25791719543147207,2023-02-06,14,56,0.0012838392124692372
493,24,20,0.004667833625072935,0.25791719543147207,2023-02-06,0,56,0.0008777686628383922
1249,117,21,0.003917646078186213,0.25,2023-02-06,15,22,0.00015586546349466776
338,148,27,0.0014170209218971408,0.25791719543147207,2023-02-06,9,56,0.004068908941755538
257,157,10,0.006418271234475285,0.25791719543147207,2023-02-06,15,5,0.01886792452830189
444,164,26,0.006418271234475285,0.11,2023-02-06,15,46,0.0012838392124692372
1595,173,10,0.006418271234475285,0.25791719543147207,2023-02-06,3,25,4.9220672682526665e-05
884,24,15,0.005584729515712261,0.25791719543147207,2023-02-05,15,56,0.0015012305168170632
925,173,10,0.0014170209218971408,0.25,2023-02-05,5,25,0.0003445447087776867
565,123,18,0.007251812953238309,0.25791719543147207,2023-02-03,8,22,0.0012305168170631665
1279,148,3,0.007168458781362006,0.2,2023-02-03,15,56,8.203445447087777e-05
576,170,26,0.006418271234475285,0.15,2023-02-03,15,1,0.00024610336341263333
252,17,7,0.12478119529882468,0.25791719543147207,2023-02-02,2,22,0.045118949958982774
1122,148,28,0.024756189047261814,0.05,2023-02-02,1,56,0.009844134536505332
119,148,22,0.020588480453446696,0.02,2023-02-02,1,56,0.0012838392124692372
1026,148,15,0.0103359173126615,0.25791719543147207,2023-02-02,6,56,0.0013125512715340443
1064,106,28,0.010169208968908895,0.07,2023-02-02,1,55,0.0012838392124692372
1029,148,22,0.00966908393765108,0.07,2023-02-02,6,56,0.003904840032813782
652,126,12,0.008085354672001334,0.25791719543147207,2023-02-02,8,56,0.014766201804758
730,159,27,0.008085354672001334,0.1,2023-02-02,9,56,0.005283018867924529
184,159,3,0.006418271234475285,0.25791719543147207,2023-02-02,15,56,0.0012838392124692372
1477,98,6,0.003084104359423189,0.25791719543147207,2023-02-02,5,56,0.00045118949958982774
100,126,7,0.0029173960156705842,0.25791719543147207,2023-02-02,4,56,0.012305168170631667
468,24,22,0.006418271234475285,0.25791719543147207,2023-02-02,1,56,0.0066529942575881875
651,148,30,0.006418271234475285,0.1,2023-02-02,1,56,0.007776866283839213
1065,161,2,0.006418271234475285,0.2,2023-02-02,1,48,0.0019688269073010667
1575,148,29,0.006418271234475285,0.25791719543147207,2023-02-02,7,56,0.004077112387202626
1498,148,6,0.026840043344169374,0.04,2023-02-01,1,56,0.019688269073010665
1232,148,2,0.012253063265816454,0.25791719543147207,2023-02-01,1,56,0.012305168170631667
491,24,2,0.01141952154705343,0.04,2023-02-01,1,56,0.005898277276456112
430,184,28,0.009835792281403685,0.25791719543147207,2023-02-01,1,56,0.0013207547169811322
1811,148,22,0.007251812953238309,0.1,2023-02-01,8,56,0.0034044298605414277
1740,176,21,0.004751187796949237,0.22,2023-02-01,1,7,0.0012838392124692372
1793,8,15,0.004417771109444028,0.28,2023-02-01,6,56,0.0017637407711238722
309,126,3,0.0034175210469283984,0.05,2023-02-01,9,56,0.004397046759639049
87,109,28,0.0025839793281653744,0.08,2023-02-01,1,56,0.0012838392124692372
557,139,17,0.0017504376094023503,0.03,2023-02-01,2,56,0.0008203445447087777
1614,126,21,0.0011669584062682335,0.1,2023-02-01,6,56,0.00022969647251845778
26,176,29,0.006418271234475285,0.25791719543147207,2023-02-01,6,7,0.0015586546349466777
244,126,21,0.006418271234475285,0.08,2023-02-01,8,56,0.0006562756357670221
619,24,15,0.006418271234475285,0.5,2023-02-01,1,56,0.000623461853978671
985,70,6,0.006418271234475285,0.08,2023-02-01,1,15,0.0020098441345365054
990,126,2,0.006418271234475285,0.08,2023-02-01,1,56,0.0012838392124692372
1128,98,13,0.006418271234475285,0.25791719543147207,2023-02-01,5,56,0.0011238720262510256
1227,159,12,0.006418271234475285,0.25791719543147207,2023-02-01,15,56,0.0004265791632485644
1356,51,30,0.006418271234475285,0.06,2023-02-01,1,56,0.08777686628383922
1193,148,10,0.16645828123697592,0.07,2023-01-31,1,56,0.0017719442165709599
1083,148,6,0.0797699424856214,0.08,2023-01-31,1,56,0.0012838392124692372
1812,148,13,0.04351087771942985,0.03,2023-01-31,1,56,0.001886792452830189
754,24,20,0.041427023422522295,0.07,2023-01-31,1,56,0.0008203445447087777
1713,148,10,0.03017421021922147,0.2,2023-01-31,1,56,0.00118129614438064
1481,63,6,0.016420771859631575,0.04,2023-01-31,1,17,0.0028219852337981956
1801,148,26,0.012253063265816454,0.17,2023-01-31,1,56,0.013125512715340444
1789,18,10,0.008085354672001334,0.25791719543147207,2023-01-31,7,17,0.010664479081214111
1633,126,2,0.004751187796949237,0.14,2023-01-31,15,56,0.0019278096800656277
678,90,30,0.0042510627656914225,0.25791719543147207,2023-01-31,15,36,9.844134536505333e-05
16,173,28,0.0013336667500208387,0.09,2023-01-31,15,25,0.0006562756357670221
1075,8,14,0.006418271234475285,0.04,2023-01-31,1,56,0.0012838392124692372
1139,185,6,0.006418271234475285,0.08,2023-01-31,1,7,0.009023789991796555
1225,3,15,0.49987496874218545,0.13,2023-01-30,1,34,0.0012838392124692372
1110,3,20,0.12478119529882468,0.15,2023-01-30,0,34,0.0012838392124692372
